JOB_ID,JOB_TYPE,CONTAINER_NO,QC_M,QC_JOB_SEQ,YARD_BLOCK,ALT_YARD_BLOCK_1,ALT_YARD_BLOCK_2,ALT_YARD_BLOCK_3
JOB6022768C,DI,CONT5708165Z,QC1,QC1_0001,G2,F2,E1,G1
JOB5002657W,DI,CONT1860335I,QC1,QC1_0002,A2,E1,H1,C1
JOB5258086K,DI,CONT3659128V,QC1,QC1_0003,C1,H2,F1,B2
JOB2271333I,DI,CONT6717804P,QC1,QC1_0004,D2,A2,B1,A1
JOB8759358T,DI,CONT9163683U,QC1,QC1_0005,D2,E1,G2,A1
JOB8310679H,LO,CONT0831003J,QC1,QC1_0006,A1,,,
JOB8348136W,DI,CONT8500141R,QC1,QC1_0007,B2,B1,C2,F2
JOB9661713U,LO,CONT1305276K,QC1,QC1_0008,E1,,,
JOB6237088M,LO,CONT4210412L,QC1,QC1_0009,C1,,,
JOB2298363U,DI,CONT5567185Z,QC1,QC1_0010,G2,D2,A2,G1
JOB4225258M,LO,CONT0444473U,QC1,QC1_0011,D2,,,
JOB3914781F,DI,CONT1533307D,QC1,QC1_0012,G1,F2,H1,D2
JOB7403959A,LO,CONT8407587E,QC1,QC1_0013,H1,,,
JOB6187732F,LO,CONT0413980J,QC1,QC1_0014,G2,,,
JOB4982519U,DI,CONT9370576Y,QC1,QC1_0015,G1,D2,H1,C2
JOB2661757Q,DI,CONT8891706M,QC1,QC1_0016,G1,C1,D1,E1
JOB9541398H,LO,CONT4173748G,QC1,QC1_0017,H2,,,
JOB0890407Y,DI,CONT9569895H,QC1,QC1_0018,G1,B1,A2,F2
JOB1691569R,LO,CONT7385061T,QC1,QC1_0019,E2,,,
JOB7673638O,DI,CONT1661810M,QC1,QC1_0020,A2,E1,A1,D2
JOB1235220U,LO,CONT9255538G,QC1,QC1_0021,H1,,,
JOB0003524R,DI,CONT5528920Z,QC1,QC1_0022,E2,A2,G1,H1
JOB1954781D,LO,CONT1564778C,QC1,QC1_0023,F2,,,
JOB6348066B,LO,CONT3047729G,QC1,QC1_0024,A2,,,
JOB4382144I,DI,CONT5020403P,QC1,QC1_0025,G2,H2,C2,A2
JOB4808806R,LO,CONT2792960P,QC1,QC1_0026,G1,,,
JOB8998142M,LO,CONT6363374W,QC1,QC1_0027,A2,,,
JOB9103972W,LO,CONT7979453O,QC1,QC1_0028,F2,,,
JOB9957129S,LO,CONT2039399O,QC1,QC1_0029,G1,,,
JOB7030495B,DI,CONT4357793L,QC1,QC1_0030,G1,F2,G2,B1
JOB9015621S,DI,CONT7436490J,QC1,QC1_0031,G1,C1,F2,E1
JOB2564559G,LO,CONT5740839F,QC1,QC1_0032,E1,,,
JOB6321649C,LO,CONT3159585A,QC1,QC1_0033,E2,,,
JOB0650551L,DI,CONT1291956Y,QC1,QC1_0034,E2,C1,B2,F1
JOB8831876Z,LO,CONT5762191R,QC1,QC1_0035,B2,,,
JOB6082691D,DI,CONT5421582P,QC1,QC1_0036,G1,C2,A1,F1
JOB8712236I,DI,CONT5606901H,QC1,QC1_0037,E1,H1,A1,G1
JOB5290680K,DI,CONT7797767L,QC1,QC1_0038,G1,H1,B2,G2
JOB7627540C,LO,CONT9235838Y,QC1,QC1_0039,H2,,,
JOB9610354B,DI,CONT7721668C,QC1,QC1_0040,G2,G1,B2,E2
JOB3878822D,DI,CONT7895282Q,QC1,QC1_0041,D2,F1,E2,G1
